Radius_mm,Speed_mms,Ext_O2,Ext_NO3,Lifespan_Days,Initial_POC_mmol,N2O_Total_mmol_lifetime,N2_Total_mmol_lifetime,Avg_Anoxic_Core_Frac,N2O_Internal_mmol_lifetime,N2O_Plume_mmol_lifetime,N2O_Yield_per_C,Frac_Oxic_Core,Frac_Den1_Core,Frac_Den2_Core,Frac_Den3_Core,Frac_Oxic_Plume,Frac_Den1_Plume,Frac_Den2_Plume,Frac_Den3_Plume,Plume_N2O_Ammox,Plume_N2O_Denit,Internal_N2O_Ammox,Internal_N2O_Denit,O2_Flux_In_mmol_lifetime,NO3_Flux_In_mmol_lifetime,DOC_Leakage_mmol_lifetime,Oxic_Total,Denit1_Total,Denit2_Total,Denit3_Total
0.1,0.6059303147343966,1.0,10.0,92.10340371976181,1.3614761764705882e-05,-1.5213791115797903e-08,7.290867642950616e-08,1.0,-4.332676717400119e-10,-1.4775848100612166e-08,-0.08978004933403912,0.047387222224340685,0.35605492351902057,0.3717168675298192,0.22484098672681957,0.1053051199095713,0.40217065609144836,0.3014403190279671,0.1910839049710133,2.751339954476517e-12,-1.4778277268590045e-08,8.216117944413043e-14,-4.333470804418482e-10,2.810755517224095e-10,3.940132220492387e-09,1.3607392247649841e-05,1.755480977250201e-08,6.791775819525725e-08,5.143012327124552e-08,3.254782243722332e-08
0.1,0.6059303147343966,2.0,10.0,92.10340371976181,1.3614761764705882e-05,-1.57135211509285e-08,7.156764070259669e-08,0.9971045255661011,-4.5220799327339023e-10,-1.5262356711787106e-08,-0.08684284372853945,0.10063594369779293,0.3393119328142808,0.34805752695755804,0.2119945965303682,0.188390011201646,0.3625561718710181,0.2733387167439184,0.17571510018341757,2.328263233250527e-12,-1.5264793873370763e-08,8.261426075574854e-14,-4.522891228209147e-10,6.354871628921899e-10,4.0024334957422525e-09,1.3607025721285027e-05,3.361648232003134e-08,6.54740271999188e-08,4.985575485783045e-08,3.1986764126301637e-08
0.1,0.6059303147343966,3.0,10.0,92.10340371976181,1.3614761764705882e-05,-1.6443649997199827e-08,7.080124930780585e-08,0.9607683420181274,-4.801364306139533e-10,-1.5963426136522685e-08,-0.08563840640725512,0.15207393029280908,0.3215395274471866,0.32578002730527966,0.2006065149547246,0.25600016767228717,0.329446980104249,0.25070952725302104,0.1638433249704428,2.0854544219989224e-12,-1.5965474275958513e-08,7.992064177337124e-14,-4.802159225825164e-10,1.020944551122227e-09,4.034091283244834e-09,1.3606655556941405e-05,4.855945828774466e-08,6.321072254511506e-08,4.856706770084429e-08,3.166917028618599e-08
0.1,0.6059303147343966,4.0,10.0,92.10340371976181,1.3614761764705882e-05,-1.7534796725726665e-08,7.063193407930157e-08,0.9136131405830383,-5.255800794579102e-10,-1.7010794550742503e-08,-0.08639812341478488,0.19935189065805925,0.3036399535692213,0.30551290988499097,0.1914952458877285,0.3121381430784305,0.3015159339363577,0.23169077814390285,0.1546551448413089,1.926535537002949e-12,-1.7012501629665167e-08,7.688633258708111e-14,-5.256555191124335e-10,1.4202220510739494e-09,4.046361912202201e-09,1.3606282664113678e-05,6.265982521735936e-08,6.120439233203712e-08,4.747060977638995e-08,3.161115647021262e-08
0.1,0.6059303147343966,5.0,10.0,92.10340371976181,1.3614761764705882e-05,-1.7993826872952923e-08,6.99935327475032e-08,0.8740969300270081,-5.430260685557187e-10,-1.7452453704436266e-08,-0.0843219316082962,0.2426920397297557,0.2873206308725732,0.2881478040974641,0.18183952530020697,0.360166801892218,0.27828948035977136,0.21577546083492663,0.14576825691308404,1.8133439628337245e-12,-1.7454262035698775e-08,7.410942654906619e-14,-5.430941252271282e-10,1.82495429879026e-09,4.050385804532652e-09,1.3605916137748864e-05,7.609555008336599e-08,5.944119230161249e-08,4.651072049721705e-08,3.133776282915335e-08
0.1,0.6059303147343966,7.5,10.0,92.10340371976181,1.3614761764705882e-05,-1.9045382160243207e-08,6.877268532434755e-08,0.8106085658073425,-6.190546963935617e-10,-1.8428163883754678e-08,-0.07979450527571504,0.33322864070469843,0.25149275675912264,0.2517552799384494,0.16352332259772953,0.4541012153085446,0.23349070040787803,0.18441219125071057,0.12799589303286685,1.6326216637288504e-12,-1.8429602732794592e-08,6.868438380980973e-14,-6.191144263922865e-10,2.836264556549395e-09,4.055732194530037e-09,1.3604978448711336e-05,1.0748840528762571e-07,5.5860653436212715e-08,4.451144497430448e-08,3.0811451834367176e-08
0.1,0.6059303147343966,10.0,10.0,92.10340371976181,1.3614761764705882e-05,-1.9358393998913925e-08,6.725193202328228e-08,0.7698752880096436,-6.810773056642461e-10,-1.8679568114521317e-08,-0.07369752964859898,0.40437279851657143,0.2233839528150377,0.2236254090677916,0.14861783960059927,0.5236342192013175,0.20140301453309015,0.16131664756398265,0.11364611870160972,1.5241523321218864e-12,-1.8680935909287655e-08,6.491688968063986e-14,-6.811288755237399e-10,3.846921892147748e-09,4.060391134430574e-09,1.3604051673610229e-05,1.3654779196237143e-07,5.308372286183527e-08,4.288973642907479e-08,3.014125427025505e-08
0.1,0.6059303147343966,12.5,10.0,92.10340371976181,1.3614761764705882e-05,-2.0824405311259397e-08,6.716856404409555e-08,0.7399749755859375,-7.509265431693279e-10,-2.0075711759659498e-08,-0.07272604801310847,0.4611430774691052,0.200803014739269,0.20104182104788262,0.13701208674374313,0.5760543336095489,0.17671778177097958,0.14312252714049145,0.10410535747898007,1.4508586389586076e-12,-2.0076935669521845e-08,6.217145261068133e-14,-7.509842192554572e-10,4.857572122318743e-09,4.064564240735535e-09,1.3603127626993228e-05,1.6387916268456593e-07,5.0822129504801694e-08,4.151555554887665e-08,3.011259386287435e-08
0.1,0.6059303147343966,15.0,10.0,92.10340371976181,1.3614761764705882e-05,-2.170827073655346e-08,6.670759233884382e-08,0.7163594961166382,-8.082262081821057e-10,-2.0901328667832786e-08,-0.07025195269026083,0.5078079065892421,0.18246332126629836,0.18268946764790275,0.12703930449655682,0.6180193240818685,0.15749243769935858,0.12871255905414616,0.09577567916462669,1.397574872670504e-12,-2.0902511721487826e-08,6.00766317119042e-14,-8.082807201326148e-10,5.8678244485577125e-09,4.068364756193432e-09,1.36021899379557e-05,1.8984371719099613e-07,4.891828264685927e-08,4.032046474478079e-08,2.991213843284157e-08
0.1,0.6059303147343966,22.5,10.0,92.10340371976181,1.3614761764705882e-05,-2.418515343549643e-08,6.595425361410889e-08,0.6658226251602173,-1.0075154044386636e-09,-2.3181151220796892e-08,-0.06480111742287947,0.6070949472786663,0.14310569463335476,0.14327137502872442,0.10652798305925447,0.7044192170992719,0.11851058287430224,0.09877793789250514,0.07829226213392067,1.2986002247486472e-12,-2.3182300523671984e-08,5.5951432180977034e-14,-1.007560368471161e-09,8.896975600691803e-09,4.078366977466885e-09,1.3599380508821923e-05,2.616397578592e-07,4.454929247721395e-08,3.744278809225676e-08,2.9586303407214132e-08
0.1,0.6059303147343966,37.5,10.0,92.10340371976181,1.3614761764705882e-05,-2.7246247924495037e-08,6.453967671404826e-08,0.6047330498695374,-1.3374320539938367e-09,-2.5909795198231222e-08,-0.05578865519517024,0.7170070820279912,0.10020426346227741,0.10026761994723353,0.08252103456249782,0.7955337030536623,0.07884555164903105,0.06723434889183448,0.058386396405472184,1.2073164733575337e-12,-2.591072068014455e-08,5.184840797260899e-14,-1.3374646945507607e-09,1.495324397637887e-08,4.0944012624777315e-09,1.3593798939837143e-05,3.87077209396125e-07,3.8903855359428974e-08,3.3449561565035424e-08,2.8963219267374996e-08
0.1,0.6059303147343966,50.0,10.0,92.10340371976181,1.3614761764705882e-05,-2.961171041704347e-08,6.423552179057879e-08,0.5711488723754883,-1.6228770549631122e-09,-2.7989264239636213e-08,-0.05148087520055104,0.7680856698982254,0.08019356499166391,0.080209905386816,0.07151085972329474,0.8365451848370834,0.061328718434985864,0.05290119515003941,0.049224901577891333,1.16950459733145e-12,-2.79901879451927e-08,5.006461079580006e-14,-1.6229139143675297e-09,2.0002614675718178e-08,4.1052117261131116e-09,1.3589143236458767e-05,4.795989063666184e-07,3.571463735863034e-08,3.106303292366164e-08,2.8831822485031466e-08
0.26,1.0346840531963233,1.0,10.0,92.10340371976181,3.6777511588235307e-05,-3.630598754966741e-08,2.2181608017035614e-07,1.0,-7.353895270512112e-10,-3.5569854617278907e-08,-0.07093723393054323,0.05839893439634426,0.30045521944672815,0.36219937423415843,0.27894647192276917,0.0884268152318053,0.3963565796154298,0.3225239657344705,0.1926926394182944,8.861572066420909e-12,-3.5578626267351865e-08,1.2226079913415676e-15,-7.353905817630846e-10,2.2015275713549443e-10,2.257283027162771e-09,3.6769662983715534e-05,4.515602887444903e-08,2.0253402821523991e-07,1.6520370349493163e-07,9.891245800197623e-08
0.26,1.0346840531963233,2.0,10.0,92.10340371976181,3.6777511588235307e-05,-3.818120575260764e-08,2.1981692555073096e-07,0.9995456337928772,-7.639093246858408e-10,-3.7417272835682525e-08,-0.06972509803376081,0.10914556429972573,0.2807985047951107,0.3436332918636362,0.2664226390415273,0.16311813928739435,0.3628702081256497,0.2954062016281938,0.17860545095876215,7.9664530180934e-12,-3.742544052443009e-08,1.5364257573654053e-15,-7.639105459311679e-10,4.4182607572551547e-10,2.2661081899855162e-09,3.6769422877114266e-05,8.912696164431466e-08,1.984083296546757e-07,1.619379449424585e-07,9.81220005247252e-08
0.26,1.0346840531963233,3.0,10.0,92.10340371976181,3.6777511588235307e-05,-4.001917019991197e-08,2.1833041330410197e-07,0.9993742108345032,-7.863721340761742e-10,-3.9232666892985435e-08,-0.06871408131518825,0.15362433285627633,0.2638462037319248,0.32762254535990365,0.25490691805189525,0.22628455758847546,0.33401037831037994,0.2728266128528597,0.16687845124828488,7.406693314226942e-12,-3.9240013904873194e-08,2.083105797841896e-15,-7.863733553215013e-10,6.645679007100114e-10,2.276185240290829e-09,3.676919368444942e-05,1.315067063023534e-07,1.9425605723988326e-07,1.5910708472954838e-07,9.753158469738565e-08
0.26,1.0346840531963233,4.0,10.0,92.10340371976181,3.6777511588235307e-05,-4.094074412819282e-08,2.1633989888414362e-07,0.9992318153381348,-8.060354050876128e-10,-4.0134985113127186e-08,-0.0664423243151591,0.19290392093832903,0.24903086714153141,0.313587970779943,0.24447724114019653,0.28053152531687753,0.3093817659145234,0.25375175128201743,0.15633495748658166,7.014970201946191e-12,-4.0141507895441464e-08,2.9430919964420826e-15,-8.060382916674769e-10,8.882667934528854e-10,2.287499745179389e-09,3.676895721582696e-05,1.7249709843847327e-07,1.9038676102312024e-07,1.5660469421252543e-07,9.669494394071165e-08
0.26,1.0346840531963233,5.0,10.0,92.10340371976181,3.6777511588235307e-05,-4.343182524735312e-08,2.1621914925162855e-07,0.9991200566291809,-8.333064238641441e-10,-4.2598962579631916e-08,-0.06680186995392,0.22758937415660635,0.2357517233431916,0.30087457249322097,0.23578433000698107,0.32719210976459695,0.2877246703300609,0.23696712876511045,0.14811609114023172,6.718286951062913e-12,-4.2606128403122057e-08,4.146831481850613e-15,-8.333102541335791e-10,1.1128543642158206e-09,2.300175605540744e-09,3.676871710922569e-05,2.1228972946207847e-07,1.8683854230427954e-07,1.5434631939204024e-07,9.668331768519778e-08
0.26,1.0346840531963233,7.5,10.0,92.10340371976181,3.6777511588235307e-05,-4.7272795455910455e-08,2.1445991649216012e-07,0.9988934993743896,-8.749980184852291e-10,-4.639794326521951e-08,-0.06457720341864041,0.29973648186710716,0.20922282311969773,0.2752180649060745,0.2158226301071207,0.4208182676355587,0.24497924342452704,0.20368883009554056,0.13051365884437371,6.202456083459484e-12,-4.640395445676404e-08,8.572098787089713e-15,-8.75006400669065e-10,1.6786618761699401e-09,2.3391193426647305e-09,3.6768135032616556e-05,3.074456396134906e-07,1.7915391925527047e-07,1.4946695547912725e-07,9.596934769096066e-08
0.26,1.0346840531963233,10.0,10.0,92.10340371976181,3.6777511588235307e-05,-5.090922883255189e-08,2.1342894740428164e-07,0.9987053871154785,-9.252419386207578e-10,-4.998407732159649e-08,-0.06275261018260242,0.3555495750779042,0.18909000057191735,0.2548322328872482,0.20052819146293022,0.4910506143738805,0.21308071430817432,0.17866535151466587,0.11720331980327935,5.862304999076917e-12,-4.998983627046982e-08,1.4570716662842993e-14,-9.252564270312291e-10,2.2520187936692082e-09,2.391344455787703e-09,3.6767534766113386e-05,3.976038740471921e-07,1.7272937780088427e-07,1.4537855497209762e-07,9.555701063757027e-08
0.26,1.0346840531963233,12.5,10.0,92.10340371976181,3.6777511588235307e-05,-5.499608590753269e-08,2.135161167871047e-07,0.9985477924346924,-9.742278095359325e-10,-5.402365843565349e-08,-0.0619017413143023,0.4001025894588842,0.17382913305380218,0.23819003950315457,0.187878237984159,0.5454806564067243,0.18835270390655934,0.15910375805789725,0.10706288162881912,5.617599701385201e-12,-5.402904079687687e-08,2.1562111362886938e-14,-9.742509021748447e-10,2.8362161508255213e-09,2.460361026024316e-09,3.676693086163141e-05,4.837022680170833e-07,1.6724777673893243e-07,1.4185733754334962e-07,9.56331150936407e-08
0.26,1.0346840531963233,15.0,10.0,92.10340371976181,3.6777511588235307e-05,-5.792717416852611e-08,2.129329885747211e-07,0.9983968138694763,-1.0167281461193056e-09,-5.690910143130168e-08,-0.06014720922526766,0.43680665542534064,0.16228110204838417,0.22414615193864276,0.17676609058763246,0.589253372634614,0.16878036803344887,0.14348464037991937,0.0984816189520178,5.43353773432842e-12,-5.6914913670880196e-08,2.908901215064631e-14,-1.0167579000963656e-09,3.4360032596936207e-09,2.5484254706498177e-09,3.676631604321301e-05,5.664261253368608e-07,1.6250429879516304e-07,1.3875758841930264e-07,9.539898393473578e-08
0.26,1.0346840531963233,22.5,10.0,92.10340371976181,3.6777511588235307e-05,-6.724192758156278e-08,2.1358013668759668e-07,0.9980234503746033,-1.1163698854232962e-09,-6.612462755128945e-08,-0.057139298584989874,0.5195608214037736,0.14111099789803172,0.19028532965902392,0.14904285103917075,0.6800281967007747,0.12839241327970494,0.11075959162473806,0.08081979839478232,5.076394599817791e-12,-6.612972924813221e-08,5.1940856536604116e-14,-1.116422398972361e-09,5.388938628669848e-09,2.916711094869129e-09,3.67644133802969e-05,7.987683949828295e-07,1.512112798307541e-07,1.3108238317016685e-07,9.574390602562488e-08
0.26,1.0346840531963233,37.5,10.0,92.10340371976181,3.6777511588235307e-05,-8.209619295485027e-08,2.1611970169033157e-07,0.9930263757705688,-1.2488778899921726e-09,-8.084749225645282e-08,-0.05239254759454882,0.6334988046616313,0.11682353661348265,0.14066356200330313,0.10901409672158291,0.775959023606906,0.08655104254498866,0.07606534655678586,0.06142458729131944,4.735942107231272e-12,-8.085292080295403e-08,8.76915049905988e-14,-1.2489547174254767e-09,1.0263296879031714e-08,3.736758902306292e-09,3.676020060083829e-05,1.2138204645850692e-06,1.36059881361561e-07,1.2012714645237565e-07,9.693919689190977e-08
0.26,1.0346840531963233,50.0,10.0,92.10340371976181,3.6777511588235307e-05,-9.362219799413651e-08,2.2008354960689758e-07,0.9823383092880249,-1.344720446105896e-09,-9.227475317175049e-08,-0.05019803841022738,0.7005265182030347,0.09941013489233416,0.11261648786342733,0.08744685904120385,0.8192772175276646,0.06788818792755134,0.060251926450231474,0.05258266809455259,4.597053206850665e-12,-9.2279393015815e-08,1.064540708188566e-13,-1.3448295810292166e-09,1.5203038827849014e-08,4.2290504431719e-09,3.675629704957828e-05,1.525685962455725e-06,1.2722603326409399e-07,1.1338835870233765e-07,9.874537132414929e-08
0.41,1.335308583145799,1.0,10.0,92.10340371976181,5.90616095122549e-05,-7.79624400593093e-08,3.986217507190304e-07,1.0,-1.7690834352990237e-09,-7.619332365038645e-08,-0.09048979483310851,0.06414145576915399,0.3279158895125375,0.3354680948936071,0.2724745598247014,0.08004188023330268,0.382458327360673,0.33161266355534746,0.2058871288506769,1.3744711965801848e-11,-7.620711528488755e-08,3.3589231283805577e-15,-1.7690867659680976e-09,5.438146044589587e-10,5.535886415941604e-09,5.9053687436971813e-05,6.884048908695206e-08,3.290981285264394e-07,2.857344103546211e-07,1.7788985440247984e-07
0.41,1.335308583145799,2.0,10.0,92.10340371976181,5.90616095122549e-05,-8.23897963186937e-08,3.989542847193661e-07,0.9994462728500366,-1.8321575367963305e-09,-8.05576405582542e-08,-0.08924151096323758,0.1202953264184715,0.30704021795694236,0.3142255966395361,0.25843885898505004,0.1493594964904884,0.3523766824263281,0.30581179566172445,0.19245202542145903,1.218375920986059e-11,-8.056998979100172e-08,3.446782891383931e-15,-1.8321610895100093e-09,1.0910798931007548e-09,5.547637460523447e-09,5.905315265408717e-05,1.3765613215976913e-07,3.2495418444966617e-07,2.824009226465307e-07,1.782121110682766e-07
0.41,1.335308583145799,3.0,10.0,92.10340371976181,5.90616095122549e-05,-8.295310038874959e-08,3.9602801393812115e-07,0.999222993850708,-1.8891159747624897e-09,-8.106398752261157e-08,-0.08447205457005641,0.16981013582828836,0.28875494598752594,0.2956019591326711,0.24583295905151456,0.20903687841693863,0.3267528659923364,0.2845327297143858,0.1796775258763392,1.125689732400792e-11,-8.10751927815545e-08,3.4788517705252155e-15,-1.8891193054315636e-09,1.64055113938133e-09,5.55947643476884e-09,5.905261787120253e-05,2.0493880781291551e-07,3.2054886034416086e-07,2.795125486620975e-07,1.7701946486425868e-07
0.41,1.335308583145799,4.0,10.0,92.10340371976181,5.90616095122549e-05,-8.809803375697811e-08,3.9812064756006293e-07,0.99906325340271,-1.943471161780508e-09,-8.615460700411859e-08,-0.08454288744434448,0.21377673052760382,0.2725642639740267,0.2791089385553832,0.23455006694298625,0.26016341148612837,0.30388976815218555,0.26565138849021225,0.17029543187147386,1.0643129606802137e-11,-8.616535751571064e-08,3.5076239974357864e-15,-1.9434747144941866e-09,2.191749448599012e-09,5.571076489019333e-09,5.905207945033908e-05,2.7067813523906636e-07,3.163817678952796e-07,2.769468154806276e-07,1.7804751339944858e-07
0.41,1.335308583145799,5.0,10.0,92.10340371976181,5.90616095122549e-05,-9.290517510862628e-08,4.001887816684757e-07,0.9989248514175415,-1.9971855280687123e-09,-9.090802421951594e-08,-0.08436372611689191,0.2530584864198898,0.25810865572523833,0.26438298462692594,0.2244498732279459,0.30468302015137866,0.28404888703749115,0.2492377869765558,0.16203030583457437,1.0206421645342356e-11,-9.091800734495337e-08,3.539554386690195e-15,-1.997189080782391e-09,2.7444049255365144e-09,5.582332818221403e-09,5.9051548305433244e-05,3.3502962959452987e-07,3.1255606325331087e-07,2.746198872749517e-07,1.7904247462396938e-07
0.41,1.335308583145799,7.5,10.0,92.10340371976181,5.90616095122549e-05,-1.00170190364679e-07,4.015593617623381e-07,0.9986361265182495,-2.1121786542011023e-09,-9.805807366092267e-08,-0.08048728600478536,0.3353055170403274,0.22812277058036276,0.23382482128430765,0.20274689109500224,0.39493724354457743,0.2447023761671162,0.21643414262882935,0.14392623765947699,9.513220072809858e-12,-9.806739598161585e-08,3.633716286579377e-15,-2.112182428959386e-09,4.1314303089734494e-09,5.608910225163299e-09,5.905021680518985e-05,4.908574244844033e-07,3.0435945941320597e-07,2.6955387566474087e-07,1.797725530661154e-07
0.41,1.335308583145799,10.0,10.0,92.10340371976181,5.90616095122549e-05,-1.0611204004362662e-07,4.0250750998893636e-07,0.9984067678451538,-2.202541704576788e-09,-1.0390945703875332e-07,-0.07667430763457682,0.40061492969675006,0.20463645923433238,0.2098682209169729,0.18488039015194466,0.46361432349147064,0.2151422550856246,0.19147489847981022,0.12976852294309457,9.10856893382439e-12,-1.0391824645239467e-07,3.7405334939752486e-15,-2.202545479335072e-09,5.524987134464254e-09,5.633530530957387e-09,5.904889985686168e-05,6.408310966321551e-07,2.9761223552249305e-07,2.652158297422602e-07,1.802727704891538e-07
0.41,1.335308583145799,12.5,10.0,92.10340371976181,5.90616095122549e-05,-1.181536646299719e-07,4.101585204807634e-07,0.9982021450996399,-2.2919204312188413e-09,-1.158618587737692e-07,-0.07757449939812602,0.4535950481951101,0.18560071288956587,0.1904382889489847,0.17036594996633936,0.5166891121103923,0.19167606164193393,0.17143686246157283,0.120197963786101,8.845014998204448e-12,-1.1587054160600019e-07,3.853972381436281e-15,-2.29192398393252e-09,6.924189666079883e-09,5.6567581729893845e-09,5.904757199459709e-05,7.861042004009278e-07,2.91858333945072e-07,2.6137555675376234e-07,1.8376060029190455e-07
0.41,1.335308583145799,15.0,10.0,92.10340371976181,5.90616095122549e-05,-1.250781167527748e-07,4.1310039478048566e-07,0.9980334043502808,-2.3764419321281594e-09,-1.227024029049062e-07,-0.0754754126318626,0.4975063629116336,0.16987631004936196,0.17438191640066752,0.1582354106383369,0.5601901741794497,0.17308720229165486,0.15544005652431145,0.11128256700458394,8.661381507846233e-12,-1.2271178206901823e-07,3.9701823371842554e-15,-2.376445706886443e-09,8.32846414056121e-09,5.678707282186224e-09,5.904624777031131e-05,9.274070773557241e-07,2.8679239361117936e-07,2.5788031687845603e-07,1.8512323340935666e-07
