bio_amp,khyd_amp,duration_hr,resp_rate
1.0,1.0,0.0,0.0
2.1316631165338418,1.0,0.0,0.0
4.543987642390771,1.0,0.0,0.0
9.686250859269974,1.0,0.0,0.0
20.64782369420004,1.0,0.0,0.0
44.014204205619755,1.0,0.0,0.0
93.8234557087083,1.0,0.0,0.0
1.0,2.1316631165338418,0.0,0.0
2.1316631165338418,2.1316631165338418,0.0,0.0
4.543987642390771,2.1316631165338418,0.0,0.0
9.686250859269974,2.1316631165338418,0.0,0.0
20.64782369420004,2.1316631165338418,0.0,0.0
44.014204205619755,2.1316631165338418,0.0,0.0
93.8234557087083,2.1316631165338418,0.0,0.0
200.0,2.1316631165338418,0.0,0.0
1.0,4.543987642390771,0.0,0.0
2.1316631165338418,4.543987642390771,0.0,0.0
4.543987642390771,4.543987642390771,0.0,0.0
9.686250859269974,4.543987642390771,0.0,0.0
20.64782369420004,4.543987642390771,0.0,0.0
44.014204205619755,4.543987642390771,0.0,0.0
93.8234557087083,4.543987642390771,0.0,0.0
200.0,4.543987642390771,0.0,0.0
1.0,9.686250859269974,0.0,0.0
2.1316631165338418,9.686250859269974,0.0,0.0
4.543987642390771,9.686250859269974,0.0,0.0
9.686250859269974,9.686250859269974,0.0,0.0
20.64782369420004,9.686250859269974,0.0,0.0
44.014204205619755,9.686250859269974,0.0,0.0
93.8234557087083,9.686250859269974,0.0,0.0
200.0,9.686250859269974,0.0,0.0
1.0,20.64782369420004,0.0,0.0
2.1316631165338418,20.64782369420004,0.0,0.0
4.543987642390771,20.64782369420004,0.0,0.0
9.686250859269974,20.64782369420004,0.0,0.0
20.64782369420004,20.64782369420004,0.0,0.0
44.014204205619755,20.64782369420004,0.0,0.0
93.8234557087083,20.64782369420004,0.0,0.0
200.0,20.64782369420004,15.012764930725098,51.49455261230469
1.0,44.014204205619755,0.0,0.0
2.1316631165338418,44.014204205619755,0.0,0.0
4.543987642390771,44.014204205619755,0.0,0.0
9.686250859269974,44.014204205619755,0.0,0.0
20.64782369420004,44.014204205619755,0.0,0.0
44.014204205619755,44.014204205619755,0.0,0.0
93.8234557087083,44.014204205619755,7.100586414337158,108.56852722167967
200.0,44.014204205619755,7.10613489151001,108.73780059814452
1.0,93.8234557087083,0.0,0.0
2.1316631165338418,93.8234557087083,0.0,0.0
4.543987642390771,93.8234557087083,0.0,0.0
9.686250859269974,93.8234557087083,0.0,0.0
20.64782369420004,93.8234557087083,0.0,0.0
44.014204205619755,93.8234557087083,3.3394906520843506,229.4627990722656
93.8234557087083,93.8234557087083,3.3536295890808105,229.6343231201172
200.0,93.8234557087083,3.3604300022125244,229.7381591796875
2.1316631165338418,200.0,0.0,0.0
4.543987642390771,200.0,0.0,0.0
9.686250859269974,200.0,0.0,0.0
20.64782369420004,200.0,1.563814640045166,483.800537109375
44.014204205619755,200.0,1.5799086093902588,483.9720764160156
93.8234557087083,200.0,1.5878863334655762,484.078125
200.0,200.0,1.5963667631149292,484.0307312011719
100.0,100.0,3.147376775741577,244.58050537109375
128.57142857142858,100.0,3.1552677154541016,244.61436462402344
157.14285714285714,100.0,3.154915571212769,244.64144897460935
185.71428571428572,100.0,3.1546802520751953,244.6595001220703
214.28571428571428,100.0,3.1545615196228027,244.6685333251953
242.8571428571429,100.0,3.154618263244629,244.66400146484375
271.42857142857144,100.0,3.163034677505493,244.65724182128903
100.0,128.57142857142858,2.4595470428466797,313.4385070800781
128.57142857142858,128.57142857142858,2.459296226501465,313.4701232910156
157.14285714285714,128.57142857142858,2.459134340286255,313.4904479980469
185.71428571428572,128.57142857142858,2.459132432937622,313.4904479980469
214.28571428571428,128.57142857142858,2.46755051612854,313.4791259765625
242.8571428571429,128.57142857142858,2.4676551818847656,313.4656066894531
271.42857142857144,128.57142857142858,2.4677422046661377,313.4543151855469
300.0,128.57142857142858,2.4678292274475098,313.44305419921875
100.0,157.14285714285714,2.016007661819458,381.948974609375
128.57142857142858,157.14285714285714,2.015874147415161,381.9737854003906
157.14285714285714,157.14285714285714,2.0158843994140625,381.9715270996094
185.71428571428572,157.14285714285714,2.024284839630127,381.9580078125
214.28571428571428,157.14285714285714,2.024367094039917,381.9421997070313
242.8571428571429,157.14285714285714,2.024437189102173,381.92864990234375
271.42857142857144,157.14285714285714,2.024519205093384,381.912841796875
300.0,157.14285714285714,2.0245895385742188,381.8992919921875
100.0,185.71428571428572,1.7086666822433472,450.12310791015625
128.57142857142858,185.71428571428572,1.7086477279663086,450.1276245117187
157.14285714285714,185.71428571428572,1.7170283794403076,450.1140747070313
