Radius_mm,Speed_mms,Ext_O2,Ext_NO3,N2O_Flux_Total_mmol_s,N2O_Flux_Internal,N2O_Flux_Plume,N2O_Yield_per_C,Frac_Oxic,Frac_Den1,Frac_Den2,Frac_Den3,Plume_N2O_Ammox,Plume_N2O_Denit,O2_Flux_In_mmol_s,NO3_Flux_In_mmol_s,DOC_Flux_Out_mmol_s,Tau_o2,Tau_no3,Tau_n2o,Tau_n2,Tau_nh4
2.0,0.78,2.0,10.0,1.2995938573709158e-11,-2.2488381160242782e-14,1.3018426412140627e-11,0.0010401600089778409,0.13696093117800723,0.4590233436588284,0.27060218220069276,0.13341362438648172,1.3143977363070689e-12,1.1704027160140112e-11,5.732603502582384e-16,6.424722564273479e-14,1.2492450341301267e-08,0.0,0.0,0.0,51560.564347556196,0.0
2.0,0.78,2.0,15.0,1.0154896505961711e-11,-8.88824503940656e-14,1.0243779801039103e-11,0.0008127706345256666,0.09618460210797264,0.46283990751139403,0.294881862236254,0.1460936932063347,1.210626037122335e-12,9.033153006070045e-12,1.0675241839922975e-15,3.905739918632209e-13,1.248549528964674e-08,0.0,0.0,0.0,15302.503181015114,19726.330503023713
2.0,0.78,6.0,5.0,1.925158030806419e-11,-8.37823333825366e-15,1.925995704051069e-11,0.0015408447671939431,0.48444887526475505,0.28982950029480037,0.15249673990472523,0.07322484297104838,9.227535385629795e-13,1.833720489133337e-11,5.045422779336576e-15,2.9730238138833636e-14,1.2493593564324524e-08,0.0,0.0,0.0,0.0,0.0
2.0,0.78,6.0,10.0,1.7086616333421704e-11,-4.723079188391931e-14,1.7133845341208128e-11,0.0013675668669846845,0.3358481873135785,0.34896566226111486,0.21178168489140195,0.10340454277730912,8.659888612286829e-13,1.6267855911594402e-11,9.845642672552098e-15,2.2851213304439226e-13,1.2490284720778747e-08,0.0,0.0,0.0,23695.427162347205,0.0
2.0,0.78,6.0,15.0,1.3422469866429886e-11,-1.4785065391251135e-13,1.3570319699341781e-11,0.0010742984277422425,0.2547230800347805,0.37917223231209035,0.2452853231688627,0.12081929150358961,8.318511503534467e-13,1.2738468738450015e-11,1.7808300695017152e-14,1.1007591030511295e-12,1.247728376980681e-08,0.0,0.1038554537949109,0.0,8050.154556206526,11627.364097933234
2.0,0.78,10.0,5.0,1.571341625940348e-11,-2.109705943959223e-14,1.573451471217585e-11,0.0012576596222544946,0.5981589843893361,0.2214685577496695,0.12180843987271403,0.058564029232304776,7.299755836700228e-13,1.5004538560120785e-11,3.1163529568896715e-14,1.0773724268290625e-13,1.2492738347559772e-08,0.0,0.0,0.0,35856.16362062293,0.0
2.0,0.78,10.0,10.0,1.3271347146136301e-11,-9.427245364499362e-14,1.3365621257571002e-11,0.0010622029712112821,0.4497845922605895,0.2859138012786203,0.1774350426277454,0.08686655323018304,7.033987832438217e-13,1.2662220263940903e-11,5.898065272972075e-14,6.785211383248065e-13,1.2486059631324217e-08,0.0,0.0,0.0,11780.483123193168,20245.89639252469
2.0,0.78,10.0,15.0,1.1230173897101585e-11,-2.4643726054832434e-13,1.1476610494534026e-11,0.0008988329481075707,0.362127581329721,0.3226560166198012,0.21112715712015262,0.10408931540372034,6.874068279997934e-13,1.0789203098149191e-11,1.0492081585564993e-13,2.8132450077891938e-12,1.2463702120804189e-08,0.0,0.1101857191333661,0.0,4590.137378941983,7380.259120538834
3.0,0.52,2.0,5.0,1.0504735478609136e-11,-3.432684626058436e-18,1.050473888891939e-11,0.00037367591379132,0.15872436499138007,0.44239327993496974,0.2664396398131213,0.13244269901856986,2.754581766528683e-12,7.750155133043059e-12,2.1559689824904994e-19,4.106423597007769e-18,2.8111887879630905e-08,0.0,0.0,0.0,0.0,0.0
3.0,0.52,2.0,10.0,1.0052273702409263e-11,-2.6591356402258678e-17,1.0052299848121211e-11,0.000357580880458837,0.09179279447063508,0.47099087977825843,0.2918565725692061,0.14535980468646187,2.900944609438926e-12,7.151354670297243e-12,4.242319909223393e-19,3.098694559685736e-17,2.811188631249763e-08,0.0,0.0,0.0,0.0,0.0
3.0,0.52,2.0,15.0,9.755968895977042e-12,-1.1716655404315828e-16,9.756085983295767e-12,0.0003470406846081386,0.06506856672667197,0.47610343750852163,0.30622808132708623,0.15259990843655025,2.8173488109489192e-12,6.9387388775019755e-12,7.677835481185464e-19,1.8035706641236574e-16,2.8111880108982308e-08,0.0,0.0,0.0,0.0,0.0
3.0,0.52,6.0,5.0,1.9383475951760418e-11,-9.312710433279416e-18,1.9383487319461268e-11,0.0006895117067417264,0.3953128457469163,0.33405316590534445,0.18133562730605154,0.08929836104168774,2.8308473873199056e-12,1.6552638795371277e-11,3.4911283696517616e-18,1.3745921442844277e-17,2.8111887480107182e-08,0.0,0.0,0.0,0.0,0.0
3.0,0.52,6.0,10.0,2.2997434019511927e-11,-5.724696593859928e-17,2.299749085801616e-11,0.0008180679265647278,0.27069819481904234,0.3857198492153078,0.23008218492457835,0.11349974662139063,2.549488265576517e-12,2.04480020240546e-11,6.1993960209034835e-18,9.665443325125584e-17,2.811188420259296e-08,0.0,0.0,0.0,0.0,0.0
3.0,0.52,6.0,15.0,2.2172559542937863e-11,-2.2275411884188807e-16,2.2172782349874467e-11,0.0007887253767761479,0.20413276629631796,0.40888842451869645,0.25893553520611634,0.1280433438829459,2.36885407815219e-12,1.980392400883446e-11,1.1011368498515013e-17,4.684349281430061e-16,2.811187271527093e-08,0.0,0.0,0.0,0.0,0.0
3.0,0.52,10.0,5.0,2.7054796079428273e-11,-2.2957056336451154e-17,2.7054818814829968e-11,0.0009623969749647371,0.5305203695111249,0.2620158012684323,0.1395809326987516,0.06788283421070525,2.260188520598851e-12,2.4794631146808678e-11,1.6707420562524512e-17,4.305911311339936e-17,2.8111886532584615e-08,0.0,0.0,0.0,0.0,0.0
3.0,0.52,10.0,10.0,2.951523489203335e-11,-1.1487480952490734e-16,2.951534856904182e-11,0.0010499200471544203,0.39256768548395016,0.3212955763153501,0.19209297390793248,0.09404377019496714,2.0340319488432023e-12,2.7481321309375215e-11,3.0804622408735815e-17,2.873473634495763e-16,2.8111880134725046e-08,0.0,0.0,0.0,0.0,0.0
3.0,0.52,10.0,15.0,2.8141727890092252e-11,-4.146592297075578e-16,2.8142143947943258e-11,0.0010010614647470628,0.30907443875469864,0.35440017189977463,0.22557893310379387,0.11094634247917555,1.8987084223219183e-12,2.624343325208117e-11,5.5055063470635766e-17,1.0880774151396483e-15,2.8111859070518582e-08,0.0,0.0,0.0,0.0,0.0
