Time_min,Initial_POC,Min_Core_O2,Anoxic_Volume_Pct
0.0,47000.0,9.9702730178833,0.0
0.016666666666666666,47000.0,4.940593719482422,0.0
0.03333333333333333,47000.0,0.5547979474067688,66.11374407582939
0.05,47000.0,0.0,81.99052132701422
0.06666666666666667,47000.0,0.0,82.46445497630332
0.08333333333333333,47000.0,0.0,81.99052132701422
0.1,47000.0,0.0,81.04265402843602
0.11666666666666667,47000.0,0.0,80.56872037914692
0.13333333333333333,47000.0,0.0,80.80568720379146
0.15,47000.0,0.0,81.27962085308057
0.16666666666666666,47000.0,0.0,79.85781990521326
0.18333333333333332,47000.0,0.0,80.80568720379146
0.2,47000.0,0.0,80.56872037914692
0.21666666666666667,47000.0,0.0,81.51658767772511
0.23333333333333334,47000.0,0.0,82.46445497630332
0.25,47000.0,0.0,82.22748815165876
0.26666666666666666,47000.0,0.0,83.17535545023696
0.2833333333333333,47000.0,0.0,83.64928909952607
0.3,47000.0,0.0,84.36018957345972
0.31666666666666665,47000.0,0.0,85.78199052132702
0.3333333333333333,47000.0,0.0,87.20379146919431
0.35,47000.0,0.0,86.96682464454977
0.36666666666666664,47000.0,0.0,87.44075829383885
0.38333333333333336,47000.0,0.0,90.28436018957346
0.4,47000.0,0.0,90.75829383886256
0.4166666666666667,47000.0,0.0,92.41706161137441
0.43333333333333335,47000.0,0.0,94.54976303317537
0.45,47000.0,0.0,95.73459715639811
0.4666666666666667,47000.0,0.0,97.86729857819904
0.48333333333333334,47000.0,0.0,99.0521327014218
0.5,47000.0,0.0,100.0
0.5166666666666667,47000.0,0.0,100.0
0.5333333333333333,47000.0,0.0,100.0
0.55,47000.0,0.0,100.0
0.5666666666666667,47000.0,0.0,100.0
0.5833333333333334,47000.0,0.0,100.0
0.6,47000.0,0.0,100.0
0.6166666666666667,47000.0,0.0,100.0
0.6333333333333333,47000.0,0.0,100.0
0.65,47000.0,0.0,100.0
0.6666666666666666,47000.0,0.0,100.0
0.6833333333333333,47000.0,0.0,100.0
0.7,47000.0,0.0,100.0
0.7166666666666667,47000.0,0.0,100.0
0.7333333333333333,47000.0,0.0,100.0
0.75,47000.0,0.0,100.0
0.7666666666666667,47000.0,0.0,100.0
0.7833333333333333,47000.0,0.0,100.0
0.8,47000.0,0.0,100.0
0.8166666666666667,47000.0,0.0,100.0
0.8333333333333334,47000.0,0.0,100.0
0.85,47000.0,0.0,100.0
0.8666666666666667,47000.0,0.0,100.0
0.8833333333333333,47000.0,0.0,100.0
0.9,47000.0,0.0,100.0
0.9166666666666666,47000.0,0.0,100.0
0.9333333333333333,47000.0,0.0,100.0
0.95,47000.0,0.0,100.0
0.9666666666666667,47000.0,0.0,100.0
0.9833333333333333,47000.0,0.0,100.0
1.0,47000.0,0.0,100.0
1.0166666666666666,47000.0,0.0,100.0
1.0333333333333334,47000.0,0.0,100.0
1.05,47000.0,0.0,100.0
1.0666666666666667,47000.0,0.0,100.0
1.0833333333333333,47000.0,0.0,100.0
1.1,47000.0,0.0,100.0
1.1166666666666667,47000.0,0.0,100.0
1.1333333333333333,47000.0,0.0,100.0
1.15,47000.0,0.0,100.0
1.1666666666666667,47000.0,0.0,100.0
1.1833333333333333,47000.0,0.0,100.0
1.2,47000.0,0.0,100.0
1.2166666666666666,47000.0,0.0,100.0
1.2333333333333334,47000.0,0.0,100.0
1.25,47000.0,0.0,100.0
1.2666666666666666,47000.0,0.0,100.0
1.2833333333333334,47000.0,0.0,100.0
1.3,47000.0,0.0,100.0
1.3166666666666667,47000.0,0.0,100.0
1.3333333333333333,47000.0,0.0,100.0
1.35,47000.0,0.0,100.0
1.3666666666666667,47000.0,0.0,100.0
1.3833333333333333,47000.0,0.0,100.0
1.4,47000.0,0.0,100.0
1.4166666666666667,47000.0,0.0,100.0
1.4333333333333333,47000.0,0.0,100.0
1.45,47000.0,0.0,100.0
1.4666666666666666,47000.0,0.0,100.0
1.4833333333333334,47000.0,0.0,100.0
1.5,47000.0,0.0,100.0
1.5166666666666666,47000.0,0.0,100.0
1.5333333333333334,47000.0,0.0,100.0
1.55,47000.0,0.0,100.0
1.5666666666666667,47000.0,0.0,100.0
1.5833333333333333,47000.0,0.0,100.0
1.6,47000.0,0.0,100.0
1.6166666666666667,47000.0,0.0,100.0
1.6333333333333333,47000.0,0.0,100.0
1.65,47000.0,0.0,100.0
1.6666666666666667,47000.0,0.0,100.0
1.6833333333333333,47000.0,0.0,100.0
1.7,47000.0,0.0,100.0
1.7166666666666666,47000.0,0.0,100.0
1.7333333333333334,47000.0,0.0,100.0
1.75,47000.0,0.0,100.0
1.7666666666666666,47000.0,0.0,100.0
1.7833333333333334,47000.0,0.0,100.0
1.8,47000.0,0.0,100.0
1.8166666666666667,47000.0,0.0,100.0
1.8333333333333333,47000.0,0.0,100.0
1.85,47000.0,0.0,100.0
1.8666666666666667,47000.0,0.0,100.0
1.8833333333333333,47000.0,0.0,100.0
1.9,47000.0,0.0,100.0
1.9166666666666667,47000.0,0.0,100.0
1.9333333333333333,47000.0,0.0,100.0
1.95,47000.0,0.0,100.0
1.9666666666666666,47000.0,0.0,100.0
1.9833333333333334,47000.0,0.0,100.0
2.0,47000.0,0.0,100.0
2.0166666666666666,47000.0,0.0,100.0
2.033333333333333,47000.0,0.0,100.0
2.05,47000.0,0.0,100.0
2.066666666666667,47000.0,0.0,100.0
2.0833333333333335,47000.0,0.0,100.0
2.1,47000.0,0.0,100.0
2.1166666666666667,47000.0,0.0,100.0
2.1333333333333333,47000.0,0.0,100.0
2.15,47000.0,0.0,100.0
2.1666666666666665,47000.0,0.0,100.0
2.183333333333333,47000.0,0.0,100.0
2.2,47000.0,0.0,100.0
2.216666666666667,47000.0,0.0,100.0
2.2333333333333334,47000.0,0.0,100.0
2.25,47000.0,0.0,100.0
2.2666666666666666,47000.0,0.0,100.0
2.283333333333333,47000.0,0.0,100.0
2.3,47000.0,0.0,100.0
2.316666666666667,47000.0,0.0,100.0
2.3333333333333335,47000.0,0.0,100.0
2.35,47000.0,0.0,100.0
2.3666666666666667,47000.0,0.0,100.0
2.3833333333333333,47000.0,0.0,100.0
2.4,47000.0,0.0,100.0
2.4166666666666665,47000.0,0.0,100.0
2.433333333333333,47000.0,0.0,100.0
2.45,47000.0,0.0,100.0
2.466666666666667,47000.0,0.0,100.0
2.4833333333333334,47000.0,0.0,100.0
2.5,47000.0,0.0,100.0
2.5166666666666666,47000.0,0.0,100.0
2.533333333333333,47000.0,0.0,100.0
2.55,47000.0,0.0,100.0
2.566666666666667,47000.0,0.0,100.0
2.5833333333333335,47000.0,0.0,100.0
2.6,47000.0,0.0,100.0
2.6166666666666667,47000.0,0.0,100.0
2.6333333333333333,47000.0,0.0,100.0
2.65,47000.0,0.0,100.0
2.6666666666666665,47000.0,0.0,100.0
2.683333333333333,47000.0,0.0,100.0
2.7,47000.0,0.0,100.0
2.716666666666667,47000.0,0.0,100.0
2.7333333333333334,47000.0,0.0,100.0
2.75,47000.0,0.0,100.0
2.7666666666666666,47000.0,0.0,99.0521327014218
2.783333333333333,47000.0,0.0,99.0521327014218
2.8,47000.0,0.0,98.5781990521327
2.816666666666667,47000.0,0.0,98.5781990521327
2.8333333333333335,47000.0,0.0,98.5781990521327
2.85,47000.0,0.0,98.5781990521327
2.8666666666666667,47000.0,0.0,98.5781990521327
2.8833333333333333,47000.0,0.0,98.5781990521327
2.9,47000.0,0.0,98.10426540284361
2.9166666666666665,47000.0,0.0,97.6303317535545
2.933333333333333,47000.0,0.0,97.1563981042654
2.95,47000.0,0.0,96.6824644549763
2.966666666666667,47000.0,0.0,96.6824644549763
