Initial_POC_Density,Ext_O2,Radius_mm,Ext_NO3,Anoxia_Duration_hr,Resp_Rate_nmol_C_mm3_hr,N2O_Net_Domain_SMS_mmol,N2O_Net_Core_SMS_mmol,N2O_Yield_molN2O_per_molC,N2_Net_Domain_SMS_mmol,C_Consumed_Core_mmol,Frac_Oxic_Core,Frac_Den1_Core,Frac_Den2_Core,Frac_Den3_Core,Oxic_C_Core_mmol,Den1_C_Core_mmol,Den2_C_Core_mmol,Den3_C_Core_mmol,Frac_Oxic_Domain,Frac_Den1_Domain,Frac_Den2_Domain,Frac_Den3_Domain,Oxic_C_Domain_mmol,Den1_C_Domain_mmol,Den2_C_Domain_mmol,Den3_C_Domain_mmol,C_Consumed_Domain_mmol,O2_Consumed_Core_mmol,NO3_Consumed_Core_mmol,DOC_Leakage_Core_mmol
200000.0,1.0,1.0,10.0,14.787070274353027,0.1978052854537964,3.7676171087940713e-07,-4.3375420233844776e-07,0.015483660022572253,2.5640159446667815e-06,9.054660646590532e-06,0.07053557009298675,0.627867245475701,0.18672037600482,0.11487680842649224,6.386756692334534e-07,5.685125003814629e-06,1.6906896895734836e-06,1.0401705466401006e-06,0.35540659686058657,0.489400507595898,0.1080976525619848,0.04709524298153062,8.648058339116946e-06,1.190851317411809e-05,2.6303248559124003e-06,1.1459618712674803e-06,2.4332858660688732e-05,7.138927042547035e-07,1.265466310193552e-05,0.0018785043651585592
200000.0,4.4285712242126465,1.0,10.0,2.0947163105010986,0.22342529892921448,7.225555486159054e-08,5.4091365710666524e-08,0.018785474580426745,6.686147247221377e-10,1.4488042876039281e-06,0.6238775438140284,0.3424687477037251,0.03361499185656835,3.871662567810637e-05,9.038764251495846e-07,4.961701706836424e-07,4.8701542429301644e-08,5.609281109533423e-11,0.7873695071251956,0.19568336900648778,0.01692252696106062,2.459690725591348e-05,3.0285007645010993e-06,7.526672385371768e-07,6.50900058677451e-08,9.460837860088993e-11,3.84635237998598e-06,1.0099634800784786e-06,1.1004177844013257e-06,0.0002659402517960312
200000.0,7.857142925262451,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,11.285714149475098,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,14.714285850524902,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,18.14285659790039,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,21.571428298950195,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,25.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,1.0,1.0,15.714285850524902,14.948404312133789,0.2034279704093933,3.837876662700743e-07,-4.413653290736957e-07,0.015313195242128189,2.6048238870321017e-06,9.41364106693955e-06,0.06859416851125653,0.6367205266654667,0.18241735203208756,0.1122679527911891,6.457208270072666e-07,5.993857990762837e-06,1.7172113310959578e-06,1.0568501214624815e-06,0.3487939567762201,0.4981001220430774,0.10665530218716787,0.046450618993534636,8.741664206673972e-06,1.2483656679285584e-05,2.673053301149186e-06,1.164170724707108e-06,2.5062546398823063e-05,7.217698278778314e-07,1.3341999728738209e-05,0.0018987395864998036
200000.0,4.4285712242126465,1.0,15.714285850524902,2.140383243560791,0.22518931329250336,7.421526577462165e-08,5.55609279221963e-08,0.018799233361820367,6.863604765942507e-10,1.4920777189508414e-06,0.6189845358291335,0.3474504420664424,0.033526558547867465,3.846355655672815e-05,9.235730849190292e-07,5.18423091468582e-07,5.0024233744863486e-08,5.739061887623814e-11,0.7838496047470899,0.1991911389093538,0.01693473736788057,2.45189756757043e-05,3.0944669859116723e-06,7.863630975995969e-07,6.685464326654777e-08,9.679555911917423e-11,3.947781505034482e-06,1.0319731882192445e-06,1.1498667617168828e-06,0.0002717263381135093
