poc,duration_hr,resp_rate
50000.0,0.0,0.0
146666.6666666667,0.0,0.0
243333.33333333337,0.0,0.0
300000.0,0.0,0.0
313333.3333333333,0.0,0.0
326666.6666666667,0.0,0.0
340000.0,0.0,0.0
353333.3333333333,0.0,0.0
366666.6666666667,0.0,0.0
380000.0,0.0,0.0
393333.3333333334,11.714759826660156,33.260986328125
406666.6666666667,11.815239906311035,34.144630432128906
420000.0,12.015791893005371,34.72468566894531
433333.3333333334,12.015349388122559,35.8283805847168
436666.6666666667,12.181129455566406,35.637657165527344
446666.6666666667,12.180821418762207,36.454708099365234
460000.0,12.418245315551758,36.85082244873047
473333.3333333334,12.417688369750977,37.92066192626953
486666.6666666667,12.417882919311523,38.988243103027344
500000.0,12.76172924041748,39.00404739379883
533333.3333333334,12.761775970458984,41.60416412353515
630000.0,14.060418128967283,44.66585540771485
726666.6666666667,15.209569931030272,47.657569885253906
823333.3333333334,15.209494590759276,53.997615814208984
920000.0,15.208861351013184,60.33992385864258
1016666.6666666667,15.219261169433594,66.67094421386719
1113333.3333333335,15.220026016235352,73.00647735595703
1210000.0,15.221104621887209,79.33975219726562
1306666.6666666667,15.222825050354004,85.66851806640625
1403333.3333333335,15.231891632080078,92.00180053710938
1500000.0,15.233232498168944,98.33055877685548
