Time_min,Amp_Factor,Amp_Numeric,Min_Core_O2
0.0,1x,1,9.99997
0.08333333333333333,1x,1,9.974333
0.16666666666666666,1x,1,9.948656
0.25,1x,1,9.923353
0.3333333333333333,1x,1,9.898462
0.4166666666666667,1x,1,9.881844
0.5,1x,1,9.898518
0.5833333333333334,1x,1,9.907869
0.6666666666666666,1x,1,9.900665
0.75,1x,1,9.895163
0.8333333333333334,1x,1,9.891132
0.9166666666666666,1x,1,9.888517
1.0,1x,1,9.886549
1.0833333333333333,1x,1,9.883646
1.1666666666666667,1x,1,9.8782015
1.25,1x,1,9.875765
1.3333333333333333,1x,1,9.879498
1.4166666666666667,1x,1,9.884344
1.5,1x,1,9.889547
1.5833333333333333,1x,1,9.893904
1.6666666666666667,1x,1,9.896434
1.75,1x,1,9.897671
1.8333333333333333,1x,1,9.899254
1.9166666666666667,1x,1,9.900869
2.0,1x,1,9.902558
2.0833333333333335,1x,1,9.904925
2.1666666666666665,1x,1,9.90722
2.25,1x,1,9.909643
2.3333333333333335,1x,1,9.912066
2.4166666666666665,1x,1,9.914776
2.5,1x,1,9.917639
2.5833333333333335,1x,1,9.920442
2.6666666666666665,1x,1,9.923132
2.75,1x,1,9.925769
2.8333333333333335,1x,1,9.928353
2.9166666666666665,1x,1,9.93091
3.0,1x,1,9.933412
3.0833333333333335,1x,1,9.935867
3.1666666666666665,1x,1,9.938091
3.25,1x,1,9.94019
3.3333333333333335,1x,1,9.942262
3.4166666666666665,1x,1,9.944309
3.5,1x,1,9.94632
3.5833333333333335,1x,1,9.948293
3.6666666666666665,1x,1,9.950174
3.75,1x,1,9.952021
3.8333333333333335,1x,1,9.953846
3.9166666666666665,1x,1,9.955656
4.0,1x,1,9.957447
4.083333333333333,1x,1,9.959217
4.166666666666667,1x,1,9.960964
4.25,1x,1,9.962694
4.333333333333333,1x,1,9.964407
4.416666666666667,1x,1,9.966091
4.5,1x,1,9.967756
4.583333333333333,1x,1,9.969416
4.666666666666667,1x,1,9.971064
4.75,1x,1,9.972265
4.833333333333333,1x,1,9.973329
4.916666666666667,1x,1,9.974396
5.0,1x,1,9.975428
5.083333333333333,1x,1,9.976385
5.166666666666667,1x,1,9.977335
5.25,1x,1,9.978273
5.333333333333333,1x,1,9.9791975
5.416666666666667,1x,1,9.980106
5.5,1x,1,9.980928
5.583333333333333,1x,1,9.981519
5.666666666666667,1x,1,9.982062
5.75,1x,1,9.982558
5.833333333333333,1x,1,9.982987
5.916666666666667,1x,1,9.983275
6.0,1x,1,9.983488
6.083333333333333,1x,1,9.983686
6.166666666666667,1x,1,9.983877
6.25,1x,1,9.984051
6.333333333333333,1x,1,9.984222
6.416666666666667,1x,1,9.984378
6.5,1x,1,9.984516
6.583333333333333,1x,1,9.984667
6.666666666666667,1x,1,9.984785
6.75,1x,1,9.984903
6.833333333333333,1x,1,9.98502
6.916666666666667,1x,1,9.985125
7.0,1x,1,9.985231
7.083333333333333,1x,1,9.985331
7.166666666666667,1x,1,9.985422
7.25,1x,1,9.98549
7.333333333333333,1x,1,9.985582
7.416666666666667,1x,1,9.985652
7.5,1x,1,9.98571
7.583333333333333,1x,1,9.9857855
7.666666666666667,1x,1,9.985842
7.75,1x,1,9.985897
7.833333333333333,1x,1,9.98595
7.916666666666667,1x,1,9.985994
8.0,1x,1,9.986042
8.083333333333334,1x,1,9.986086
8.166666666666666,1x,1,9.986124
8.25,1x,1,9.986168
8.333333333333334,1x,1,9.986204
8.416666666666666,1x,1,9.9862385
8.5,1x,1,9.986261
8.583333333333334,1x,1,9.986296
8.666666666666666,1x,1,9.986323
8.75,1x,1,9.986349
8.833333333333334,1x,1,9.986362
8.916666666666666,1x,1,9.986383
9.0,1x,1,9.986422
9.083333333333334,1x,1,9.986437
9.166666666666666,1x,1,9.986469
9.25,1x,1,9.986481
9.333333333333334,1x,1,9.98649
9.416666666666666,1x,1,9.986509
9.5,1x,1,9.986525
9.583333333333334,1x,1,9.986529
9.666666666666666,1x,1,9.98654
9.75,1x,1,9.986563
9.833333333333334,1x,1,9.986575
9.916666666666666,1x,1,9.986582
0.0,5x,5,9.999851
0.08333333333333333,5x,5,9.870775
0.16666666666666666,5x,5,9.741724
0.25,5x,5,9.61455
0.3333333333333333,5x,5,9.489439
0.4166666666666667,5x,5,9.404594
0.5,5x,5,9.485821
0.5833333333333334,5x,5,9.531473
0.6666666666666666,5x,5,9.494213
0.75,5x,5,9.465367
0.8333333333333334,5x,5,9.443466
0.9166666666666666,5x,5,9.428135
1.0,5x,5,9.415696
1.0833333333333333,5x,5,9.400432
1.1666666666666667,5x,5,9.372492
1.25,5x,5,9.360189
1.3333333333333333,5x,5,9.375196
1.4166666666666667,5x,5,9.404363
1.5,5x,5,9.434996
1.5833333333333333,5x,5,9.457956
1.6666666666666667,5x,5,9.462407
1.75,5x,5,9.466987
1.8333333333333333,5x,5,9.473252
1.9166666666666667,5x,5,9.479582
2.0,5x,5,9.488244
2.0833333333333335,5x,5,9.495977
2.1666666666666665,5x,5,9.506475
2.25,5x,5,9.518805
2.3333333333333335,5x,5,9.532502
2.4166666666666665,5x,5,9.54655
